rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
1,Mean Girls,"$43,944,867","$38,348,633",87.3%,"$5,596,234",12.7%
2,The Beekeeper,"$43,793,563","$22,653,563",51.7%,"$21,140,000",48.3%
3,Night Swim,"$31,895,548","$21,054,140",66%,"$10,841,408",34%
4,Kleks Academy,"$6,825,426",-,-,"$6,825,426",100%
5,Alienoid: The Return to the Future,"$4,771,858",-,-,"$4,771,858",100%
6,The Book of Clarence,"$3,572,549","$3,572,549",100%,-,-
7,Detective Conan vs. Kid the Phantom Thief,"$2,563,846",-,-,"$2,563,846",100%
8,Cinquanta km all'ora,"$1,973,740",-,-,"$1,973,740",100%
9,It's Raining Men,"$1,727,495",-,-,"$1,727,495",100%
10,Tati Part Time,"$1,411,067",-,-,"$1,411,067",100%
11,Bonnard: Pierre & Marthe,"$920,770",-,-,"$920,770",100%
12,Tainted Soul,"$831,103",-,-,"$831,103",100%
13,White Bird,"$736,004",-,-,"$736,004",100%
14,I Did It My Way,"$701,330","$75,873",10.8%,"$625,457",89.2%
15,A Silence,"$577,081",-,-,"$577,081",100%
16,Let's Go Karaoke!,"$573,405",-,-,"$573,405",100%
17,Guntur Kaaram,"$572,865",-,-,"$572,865",100%
18,Enea,"$562,593",-,-,"$562,593",100%
19,Making Of,"$562,322",-,-,"$562,322",100%
20,Fuks 2,"$556,316",-,-,"$556,316",100%
21,Valle de sombras,"$499,197",-,-,"$499,197",100%
22,The Bricklayer,"$469,860",-,-,"$469,860",100%
23,Hanu Man,"$420,050",-,-,"$420,050",100%
24,Kim Dae Jung on the Road,"$419,890",-,-,"$419,890",100%
25,Captain Miller,"$396,299",-,-,"$396,299",100%
26,Ayalaan,"$347,554",-,-,"$347,554",100%
27,Piep*zyc Mickiewicza,"$182,217",-,-,"$182,217",100%
28,The Jack in the Box Rises,"$131,072",-,-,"$131,072",100%
29,Origin,"$117,063","$117,063",100%,-,-
30,Turbozavry. God drakona,"$106,425",-,-,"$106,425",100%
31,Weak Layers,"$103,025","$103,025",100%,-,-
32,Demon: Azab-ül Kem,"$92,078",-,-,"$92,078",100%
33,Powstaniec 1863,"$89,774",-,-,"$89,774",100%
34,Sometimes I Think About Dying,"$78,304",-,-,"$78,304",100%
35,Merry Christmas,"$68,542",-,-,"$68,542",100%
36,Sidonie in Japan,"$62,670",-,-,"$62,670",100%
37,Fear the Invisible Man,"$62,365",-,-,"$62,365",100%
38,Baskan,"$60,215",-,-,"$60,215",100%
39,Abraham Ozler,"$55,413",-,-,"$55,413",100%
40,The Verge of Death,"$53,155",-,-,"$53,155",100%
41,Quiero que me mantengan,"$51,509",-,-,"$51,509",100%
42,Al Eskandarany,"$50,218",-,-,"$50,218",100%
43,Noah's Ark,"$46,198",-,-,"$46,198",100%
44,Johnny Puff: Secret Mission,"$34,560",-,-,"$34,560",100%
45,El Harifa,"$34,543",-,-,"$34,543",100%
46,ESABAT AZEEMA (ARABIC),"$34,145",-,-,"$34,145",100%
47,Aristokratka ve varu,"$33,697",-,-,"$33,697",100%
48,Selling a Colonial War,"$27,743",-,-,"$27,743",100%
49,Ape vs. Mecha Ape,"$26,033",-,-,"$26,033",100%
50,Great Pretender: Razbliuto,"$22,624","$22,624",100%,-,-
51,Honeymoon,"$20,379",-,-,"$20,379",100%
52,Aattam,"$19,645",-,-,"$19,645",100%
53,Ada,"$18,075",-,-,"$18,075",100%
54,I Won't Die,"$17,062",-,-,"$17,062",100%
55,Household Saints 2024 Re-release,"$11,323","$11,323",100%,-,-
56,Inshallah a Boy,"$10,377","$9,068",87.4%,"$1,309",12.6%
57,The Settlers,"$9,992","$9,992",100%,-,-
58,Ajoomma,"$8,330",-,-,"$8,330",100%
59,Só Nós Dois,"$7,500",-,-,"$7,500",100%
60,Filme Gel,"$6,741",-,-,"$6,741",100%
61,Night Courier,"$6,085",-,-,"$6,085",100%
62,Naa Saami Ranga,"$4,917",-,-,"$4,917",100%
63,In the Blind Spot,"$4,484",-,-,"$4,484",100%
64,The Promised Land,"$4,400",-,-,"$4,400",100%
65,Palacio Estilistas,"$4,231",-,-,"$4,231",100%
66,Raastha,"$4,011",-,-,"$4,011",100%
67,Malaika,"$2,762",-,-,"$2,762",100%
68,Mission: Chapter 1,"$1,594",-,-,"$1,594",100%
69,Via Norte,"$1,576",-,-,"$1,576",100%
70,Bizkarsoro,$424,-,-,$424,100%
71,Freaks Vs. The Reich,$233,-,-,$233,100%
