rank,title,worldwide,domestic,domestic_pct,foreign,foreign_pct
174,Tri bogatyrya i Pup Zemli,"$10,421,285",-,-,"$10,421,285",100%
175,Sleep,"$10,392,498",-,-,"$10,392,498",100%
176,The Crime Is Mine,"$10,332,435","$59,903",0.6%,"$10,272,532",99.4%
177,Sun and Concrete,"$10,119,958",-,-,"$10,119,958",100%
178,The Lord of the Rings: The Return of the King 2023 Re-release (20th Anniversary),"$9,736,432","$1,176,085",12.1%,"$8,560,347",87.9%
179,The Peasants,"$9,612,537",-,-,"$9,612,537",100%
180,Talk to Her Undated France Release,"$9,549,770",-,-,"$9,549,770",100%
181,Kandahar,"$9,387,311","$4,813,132",51.3%,"$4,574,179",48.7%
182,House Party,"$9,285,747","$9,002,247",96.9%,"$283,500",3.1%
183,Freelance,"$9,112,817","$5,314,136",58.3%,"$3,798,681",41.7%
184,All Your Faces,"$9,056,053",-,-,"$9,056,053",100%
185,The Wandering Earth II,"$8,854,786","$5,023,132",56.7%,"$3,831,654",43.3%
186,Father & Soldier,"$8,598,322",-,-,"$8,598,322",100%
187,PreCure All Stars F,"$8,519,569",-,-,"$8,519,569",100%
188,The Braid,"$8,409,766",-,-,"$8,409,766",100%
189,Dream,"$8,317,251",-,-,"$8,317,251",100%
190,Dream Scenario,"$8,289,230","$5,693,190",68.7%,"$2,596,040",31.3%
191,Les Segpa au ski,"$8,259,232",-,-,"$8,259,232",100%
192,Vacaciones de verano,"$8,209,854",-,-,"$8,209,854",100%
193,Weekend Rebels,"$8,184,539",-,-,"$8,184,539",100%
194,On the Wandering Paths,"$8,174,394",-,-,"$8,174,394",100%
195,The Animal Kingdom,"$8,161,857",-,-,"$8,161,857",100%
196,Ransomed,"$8,101,634","$142,101",1.8%,"$7,959,533",98.2%
197,Cats in the Museum,"$8,092,491",-,-,"$8,092,491",100%
198,Cobweb,"$8,052,602",-,-,"$8,052,602",100%
199,Checker Tobi und die Reise zu den fliegenden Flüssen,"$7,953,344",-,-,"$7,953,344",100%
200,The Silent Service,"$7,836,539",-,-,"$7,836,539",100%
